CUSTOMER_NUMBER,txn_count,total_trans_amount,avg_trans_amount,max_trans_amount,std_trans_amount,unique_devices,unique_ips,beneficiary_count,night_txn_ratio,outside_bank_ratio,max_inactive_gap,burst_max,total_app_activities,avg_activity_hour,night_activity_ratio,password_change_count,max_daily_activity,avg_balance_ca,balance_volatility,max_cic_overdue_days,card_utilization_ratio,rule_behavior_device,rule_ato,rule_money_mule,rule_dormant_active,rule_night_anomaly,score_fraud_rule,score_behavioral_instability,score_aml_risk,final_risk_score,Risk_Segment,Fraud,Reason_Code_Details,ML_Pred,Rule_Detected,Business_Action
890117,53.0,9397000.0,177301.88679245283,2000000.0,313809.0174285125,2.0,53.0,32.0,0.0188679245283018,0.5849056603773585,12.0,3.0,300.0,14.846666666666666,0.0433333333333333,1.0,12.0,567375.8157142857,444853.8852983897,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 53 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
980642,57.0,73697000.0,1292929.8245614036,11000000.0,2020511.461589872,4.0,57.0,39.0,0.0175438596491228,0.4385964912280701,31.0,2.0,321.0,15.601246105919005,0.0,1.0,15.0,543534.5783333334,590600.1358125035,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 4 máy & 57 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
277160,1.0,25251956.0,25251956.0,25251956.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,103.0,13.737864077669904,0.0970873786407767,1.0,15.0,126053.79444444444,170434.93689819454,1.0,0,0,0,1,0,0,0.0,0.0,20.0,20.0,Medium,1,"• AML/Mule: Giao dịch khủng 25,251,956 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 1 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
203729,150.0,4363330001.0,29088866.673333332,250000000.0,59329262.32176953,4.0,150.0,111.0,0.0,0.3066666666666666,11.0,3.0,719.0,12.974965229485395,0.0083449235048678,3.0,15.0,3820253.316,2906015.636418874,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 4 máy & 150 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
598354,1.0,14799000.0,14799000.0,14799000.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,212.0,13.533018867924527,0.0518867924528301,2.0,13.0,447.3,0.0,1.0,0,0,0,1,0,0,0.0,0.0,20.0,20.0,Medium,1,"• AML/Mule: Giao dịch khủng 14,799,000 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 1 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
816358,143.0,86100365.0,602100.4545454546,6550000.0,1038056.3270349504,3.0,142.0,105.0,0.0209790209790209,0.4055944055944055,23.0,4.0,1189.0,13.513877207737597,0.0235492010092514,2.0,31.0,2487062.04375,1150443.1002280633,1.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 3 máy & 142 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
925790,9.0,6177366.0,686374.0,3000000.0,1009968.655678977,2.0,9.0,3.0,0.0,0.3333333333333333,12.0,1.0,311.0,15.585209003215434,0.135048231511254,2.0,28.0,4527033.426666667,3126674.895996846,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 9 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
674622,34.0,336950686.0,9910314.294117646,100000000.0,18467637.75232317,2.0,34.0,34.0,0.1176470588235294,0.5,40.0,5.0,391.0,13.250639386189258,0.1048593350383631,2.0,39.0,898324.2916666666,840487.2052483695,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 34 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
518322,15.0,77600000.0,5173333.333333333,10000000.0,3116881.8362190733,1.0,15.0,15.0,0.0,1.0,39.0,2.0,171.0,12.602339181286547,0.023391812865497,1.0,9.0,8088144.265555556,6034892.383194253,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
85511,38.0,9626000.0,253315.7894736842,1500000.0,436707.89948624035,2.0,38.0,20.0,0.0,0.5263157894736842,9.0,3.0,210.0,13.871428571428572,0.0142857142857142,1.0,16.0,441160.8016666667,206617.2391419752,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 38 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
43042,124.0,269399000.0,2172572.580645161,20000000.0,3960094.989772664,5.0,124.0,105.0,0.0080645161290322,0.717741935483871,13.0,4.0,1035.0,14.22512077294686,0.0164251207729468,2.0,31.0,7616353.668888888,7186146.640056456,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 5 máy & 124 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
968793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63576.94600000001,14935.137416667116,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
462259,9.0,540000.0,60000.0,300000.0,91787.7987534291,1.0,9.0,1.0,0.3333333333333333,0.1111111111111111,14.0,1.0,80.0,15.75,0.0875,2.0,12.0,1487548.14,263175.1154669848,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
581640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32258.06,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
267638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104092.83857142855,61035.33292407288,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
795015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220877.42,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
909318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
55295,15.0,100934164.0,6728944.266666667,50000000.0,13103823.560528036,2.0,15.0,7.0,0.0,0.4,34.0,3.0,524.0,12.488549618320612,0.0,3.0,33.0,2752129.1525,3632841.363598641,2.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 15 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
547073,8.0,15180000.0,1897500.0,11000000.0,3736376.2046744097,4.0,8.0,8.0,0.0,0.75,38.0,4.0,162.0,16.820987654320987,0.074074074074074,3.0,27.0,555819.9866666667,602926.5508761671,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 4 máy & 8 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
30606,152.0,135014008.0,888250.052631579,14000000.0,1967397.7816005533,2.0,152.0,114.0,0.006578947368421,0.625,23.0,5.0,1672.0,14.407894736842104,0.0071770334928229,1.0,39.0,2249255.9208333334,3117261.700094283,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 152 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
823964,24.0,6270000.0,261250.0,2500000.0,611948.5094849644,3.0,24.0,6.0,0.2083333333333333,0.2083333333333333,34.0,2.0,269.0,14.263940520446097,0.1784386617100371,2.0,20.0,405320.12142857147,276173.4273541184,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 3 máy & 24 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
64341,1.0,80000.0,80000.0,80000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,11.294117647058824,0.0,1.0,15.0,11441330.095,13375963.21609133,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
360344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377570.893,458986.6246112802,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
642827,33.0,50717844.0,1536904.3636363635,6682000.0,1755075.9931165697,2.0,33.0,33.0,0.0606060606060606,1.0,31.0,2.0,329.0,13.887537993920972,0.0972644376899696,2.0,14.0,5462340.06,4661253.778889079,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 33 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
112960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.07,430.0549330027502,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
887212,3.0,52979000.0,17659666.666666668,29361000.0,14684938.23423624,1.0,3.0,0.0,0.0,0.0,47.0,1.0,44.0,12.886363636363637,0.0,2.0,13.0,241383.02857142856,83739.29934732667,2.0,0,0,0,1,0,0,0.0,0.0,20.0,20.0,Medium,1,"• AML/Mule: Giao dịch khủng 29,361,000 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 2 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
574444,48.0,40217000.0,837854.1666666666,30000000.0,4368872.438345558,3.0,48.0,14.0,0.0,0.2291666666666666,54.0,4.0,444.0,12.984234234234236,0.0067567567567567,1.0,35.0,297123.6844444445,251069.8419037301,1.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 3 máy & 48 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
114059,8.0,124577835.0,15572229.375,71094015.0,23503368.481485657,2.0,8.0,1.0,0.0,0.125,39.0,1.0,118.0,13.14406779661017,0.0508474576271186,1.0,14.0,5873663.626250001,4524859.977156367,1.0,0,0,1,1,0,0,50.0,0.0,20.0,70.0,Critical,1,"• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 8 IP | • AML/Mule: Giao dịch khủng 71,094,015 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 1 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
331031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,63639.61030678928,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
174473,1.0,450000.0,450000.0,450000.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,72.0,13.36111111111111,0.0,2.0,13.0,431329.69111111114,497914.9528455947,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
831717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188754.12,52218.31878577593,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
821508,39.0,12976255.0,332724.4871794872,5000000.0,823927.0177112607,2.0,39.0,7.0,0.0,0.1282051282051282,14.0,3.0,680.0,14.06470588235294,0.0,1.0,24.0,6820105.2837499995,5785355.638119053,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 39 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
301807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
799256,20.0,68963934.0,3448196.7,15210934.0,4593246.372404519,2.0,20.0,20.0,0.1,0.9,32.0,3.0,142.0,15.82394366197183,0.028169014084507,2.0,11.0,780900.7440000001,1140458.3735811822,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 20 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
219105,5.0,1140000.0,228000.0,1000000.0,432053.2374603852,2.0,5.0,1.0,0.2,0.2,15.0,1.0,68.0,13.014705882352942,0.1764705882352941,1.0,10.0,1199300.7166666666,1007958.6841761344,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 5 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
79789,36.0,123229603.0,3423044.527777778,23000000.0,6576084.018858967,2.0,36.0,17.0,0.1111111111111111,0.3333333333333333,26.0,2.0,255.0,13.980392156862743,0.1176470588235294,1.0,15.0,4555820.107777778,3884965.885734684,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 36 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
377387,23.0,1172232000.0,50966608.69565217,300000000.0,75368515.14979829,1.0,23.0,22.0,0.0434782608695652,0.8260869565217391,53.0,3.0,201.0,13.318407960199004,0.0398009950248756,8.0,34.0,28718087.37375,36683491.0769938,2.0,0,0,0,1,0,0,0.0,0.0,20.0,20.0,Medium,1,"• AML/Mule: Giao dịch khủng 300,000,000 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 2 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
142082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327008.9641666667,229242.91913599227,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
395016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
673566,5.0,137000000.0,27400000.0,50000000.0,19844394.674567424,1.0,5.0,0.0,0.0,0.0,26.0,1.0,193.0,15.647668393782384,0.0932642487046632,3.0,14.0,65000.0,49497.47468305832,1.0,0,0,0,1,0,0,0.0,0.0,20.0,20.0,Medium,1,"• AML/Mule: Giao dịch khủng 50,000,000 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 1 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
136777,21.0,11695000.0,556904.7619047619,3368000.0,951467.5982271758,2.0,21.0,12.0,0.0952380952380952,0.1428571428571428,6.0,3.0,214.0,14.588785046728972,0.1121495327102803,2.0,39.0,258675.51,236379.0174100056,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 21 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
687471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12903.226666666667,22349.044168244272,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
868365,224.0,871973000.0,3892736.6071428577,25574000.0,3822591.2017027824,4.0,223.0,210.0,0.0267857142857142,0.5625,8.0,4.0,996.0,16.207831325301203,0.0341365461847389,1.0,19.0,4109173.18,2559630.823082902,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 4 máy & 223 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
873856,47.0,17031300.0,362368.08510638296,3500000.0,637915.4864653628,2.0,47.0,31.0,0.0212765957446808,0.3191489361702128,13.0,3.0,884.0,13.944570135746606,0.0113122171945701,2.0,32.0,4022873.6525,2805105.5408728374,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 47 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
273799,1.0,30000000.0,30000000.0,30000000.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,48.0,12.895833333333334,0.1041666666666666,2.0,19.0,22149116.823333334,32863551.73364768,2.0,0,0,0,1,0,0,0.0,0.0,20.0,20.0,Medium,1,"• AML/Mule: Giao dịch khủng 30,000,000 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 2 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
140436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
685999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
268601,8.0,2677100.0,334637.5,1061100.0,311929.74455109966,2.0,8.0,0.0,0.0,0.0,5.0,2.0,289.0,13.006920415224911,0.0034602076124567,3.0,21.0,80645.16,0.0,1.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 2 máy & 8 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
502826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74696.935,20545.7442364017,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
133422,9.0,493060000.0,54784444.44444445,150000000.0,56625384.5706833,1.0,9.0,9.0,0.0,1.0,130.0,2.0,130.0,14.584615384615384,0.1,1.0,10.0,2658221.898888889,3727456.494474569,5.0,0,0,0,1,0,0,0.0,0.0,20.0,20.0,Medium,1,"• AML/Mule: Giao dịch khủng 150,000,000 VND (Vượt ngưỡng IQR) kết hợp hồ sơ dính nợ xấu CIC 5 ngày",1,1,CRITICAL: BLOCK IMMEDIATELY
56176,260.0,551931085.0,2122811.8653846155,49991000.0,4772324.260378418,5.0,260.0,207.0,0.0076923076923076,0.7576923076923077,5.0,8.0,3913.0,13.242269358548429,0.013800153335037,2.0,83.0,5094409.6175,2224778.731001394,0.0,0,0,1,0,0,0,50.0,0.0,0.0,50.0,High,1,• ATO: Phát hiện đổi mật khẩu kết hợp sử dụng bất thường 5 máy & 260 IP,1,1,CRITICAL: BLOCK IMMEDIATELY
12638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.96333333333334,88.8761475312696,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
479425,1.0,200000.0,200000.0,200000.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,15.375,0.3125,2.0,7.0,190050.903,56534.95436469413,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
123295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Low,0,"Tài khoản sạch, hành vi đạt chuẩn an toàn.",0,0,PASS: ALLOW TRANSACTION
